CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
 Atelier graphique                   , 40.32.2555       , Schmitt        , Carine          
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
